fdc_id,description,calories,protein_g,fat_g,carbs_g
2709319,Apple cider,46.0,0.1,0.13,11.3
2708019,"Cobbler, apple",217.0,2.05,8.66,33.56
174988,"Croissants, apple",254.0,7.4,8.7,37.1
2707995,"Pie, apple",296.0,2.7,15.28,37.55
2708039,"Strudel, apple",281.0,1.96,14.08,37.18
175032,"Strudel, apple",274.0,3.3,11.2,41.1
2709219,Apple pie filling,100.0,0.1,0.1,26.1
2709320,"Apple juice, 100%",48.0,0.09,0.25,11.34
2709293,Apple salad with dressing,180.0,1.45,14.24,12.2
170959,"Babyfood, juice, apple",47.0,0.0,0.1,11.7
2707855,"Cake or cupcake, apple",376.0,2.41,17.5,52.52
168816,"Fruit butters, apple",724.0,0.39,0.3,42.5
2016166,SALMON,139.0,15.2,7.95,2.65
1028841,SALMON,232.0,19.0,15.5,0.0
2470000,SALMON,207.0,20.7,13.2,0.0
1895461,SALMON,209.0,21.8,11.8,1.82
2706850,Lomi salmon,60.0,7.55,1.86,3.31
2706826,Salmon salad,213.0,10.82,17.36,2.73
172343,"Fish oil, salmon",902.0,0.0,100.0,0.0
2706291,"Fish, salmon, canned",136.0,24.62,4.21,0.0
2706289,"Fish, salmon, fried",307.0,17.45,20.68,11.72
2706287,"Fish, salmon, grilled",259.0,25.92,16.48,0.0
2706285,"Fish, salmon, NFS",274.0,25.4,18.4,0.01
2706284,"Fish, salmon, raw",188.0,20.44,11.16,0.0
2706292,"Fish, salmon, smoked",117.0,18.28,4.32,0.0
2706290,"Fish, salmon, steamed",237.0,25.82,14.1,0.0
2707023,Salmon cake sandwich,279.0,13.86,15.93,19.37
2708963,"Sushi roll, salmon",103.0,6.88,1.28,15.3
2708969,"Sushi, topped with salmon",107.0,8.92,1.74,13.39
2706552,"Fish, salmon cake or patty",285.0,16.07,22.1,4.46
2706286,"Fish, salmon, baked or broiled",274.0,25.4,18.4,0.01
173688,"Fish, salmon, chinook, raw",750.0,19.9,10.4,0.0
2020713,OATS,375.0,12.5,6.25,67.5
2014676,OATS,375.0,12.5,6.25,67.5
2705412,Oat milk,45.0,0.66,2.33,5.37
2708489,"Oats, raw",379.0,13.15,6.52,67.7
173576,"Oil, oat",3700.0,0.0,100.0,0.0
2708462,"Cereal, oat bunches",392.0,7.43,6.06,76.25
2707772,"Bagel, oat bran",250.0,10.2,1.53,48.89
172666,"Bagels, oat bran",255.0,10.7,1.2,53.3
2707770,"Bread, oat bran",299.0,9.33,4.89,53.89
172676,"Bread, oat bran",236.0,10.4,4.4,39.8
2708466,"Cereal, oat squares",379.0,10.4,5.22,73.27
2707840,"Muffin, oat bran",270.0,7.0,7.4,48.3
172769,"Muffins, oat bran",270.0,7.0,7.4,48.3
168873,"Oat bran, cooked",40.0,3.21,0.86,11.4
168872,"Oat bran, raw",246.0,17.3,7.03,66.2
2705441,"Yogurt, Greek, with oats",149.0,9.22,3.67,20.02
174626,"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, dry",1520.0,17.0,7.97,62.9
2707771,"Bread, oat bran, toasted",296.0,9.23,4.84,53.3
172677,"Bread, oat bran, toasted",259.0,11.4,4.8,43.7
2708467,"Cereal, frosted oats with marshmallows",372.0,8.17,4.07,76.61
2058078,BREAD,146.0,3.57,0.0,32.1
1916888,BREAD,263.0,7.89,0.0,55.3
2339103,BREAD,196.0,8.7,2.17,43.5
2071481,BREAD,357.0,10.7,5.36,66.1
2431121,BREAD,306.0,5.88,7.06,51.8
2011754,BREAD,222.0,5.56,4.17,44.4
2071305,BREAD,263.0,8.77,0.88,56.1
1850717,BREAD,240.0,8.0,1.0,50.0
2072082,BREAD,269.0,7.69,3.85,50.0
2157209,BREAD,8600.0,270.0,150.0,1700.0
2071165,BREAD,306.0,10.2,8.16,49.0
1941823,BREAD,250.0,7.14,0.0,50.0
1153769,BREAD,250.0,10.4,0.0,52.1
2480938,BREAD,255.0,7.27,4.55,47.3
2436286,BREAD,222.0,11.1,3.33,44.4
2014227,BREAD,248.0,10.0,1.0,54.0
2707850,"Bread, fruit",374.0,6.01,18.1,47.34
2707613,"Bread, naan",311.0,11.09,7.28,50.23
2707851,"Bread, zucchini",306.0,5.05,13.14,42.64
2707714,"Bread, puri",409.0,6.84,24.94,39.23
2709510,Potato patty,171.0,3.89,11.32,13.49
2709556,"Soup, potato",90.0,1.51,4.71,10.53
2709552,Potato pancake,196.0,4.47,10.8,20.64
2709554,Stewed potatoes,103.0,1.99,3.39,16.26
2709382,"Potato, NFS",126.0,1.87,4.25,20.45
167943,"Bread, potato",266.0,12.5,3.13,47.1
2707642,"Bread, potato",266.0,12.5,3.13,47.07
2261422,"Flour, potato",,8.11,0.951,79.9
2708722,"Gnocchi, potato",135.0,2.44,6.33,17.2
168446,Potato flour,1490.0,6.9,0.34,83.1
170092,Potato pancakes,1120.0,6.08,14.8,27.8
2709557,"Soup, potato with meat",109.0,3.78,6.43,8.81
2709511,"Potato tots, NFS",237.0,1.9,15.46,24.4
2709513,"Potato tots, school",166.0,2.02,9.16,19.34
2709715,Sweet potato tots,191.0,2.26,9.35,37.3
2709385,"Potato, boiled, NFS",126.0,1.87,4.25,20.45
2709421,"Potato chips, NFS",532.0,6.39,33.98,53.83
2709422,"Potato chips, plain",532.0,6.39,33.98,53.83
2709438,"Potato chips, unsalted",537.0,6.25,30.3,59.66
2709445,"Potato sticks, flavored",517.0,6.63,34.06,52.77
