fdc_id,description,calories,protein_g,fat_g,carbs_g
2083027,milk,62.0,3.33,3.33,5.42
2503416,milk,62.0,3.33,3.33,5.42
2501185,milk,62.0,3.33,3.33,5.42
2475001,milk,51.0,3.38,1.97,5.07
2062196,milk,62.0,3.33,3.33,5.0
2476573,milk,67.0,3.75,3.33,5.42
2454032,milk,67.0,3.75,3.33,5.42
2098011,milk,54.0,4.17,2.08,5.42
1909141,milk,55.0,3.39,2.12,5.08
1954124,milk,133.0,3.33,11.7,3.33
2471393,milk,71.0,3.33,3.75,5.42
2062449,milk,63.0,3.38,3.38,4.59
2630156,milk,62.0,3.33,3.33,5.0
2092649,milk,62.0,3.33,3.33,4.58
2658737,milk,67.0,3.75,3.33,5.42
1881028,milk,67.0,3.33,3.75,5.42
2074481,milk,62.0,3.33,3.33,5.0
2078442,milk,62.0,3.33,3.33,5.0
2012128,banana,312.0,12.5,6.25,40.6
2011468,banana,336.0,0.0,1.07,78.6
173945,"bananas, dehydrated, or banana powder",346.0,3.89,1.81,88.3
2709225,"banana, baked",161.0,0.82,3.21,32.43
2709224,"banana, raw",97.0,0.74,0.28,22.71
2709200,banana chips,519.0,2.3,33.6,58.4
2709342,banana nectar,74.0,0.26,0.13,18.01
2705697,banana pudding,160.0,2.57,4.26,28.0
2705660,banana split,199.0,2.42,6.88,32.59
173944,"bananas, raw",89.0,1.09,0.33,22.8
1105073,"bananas, overripe, raw",357.0,0.73,0.22,20.1
2707856,"cake or cupcake, banana",379.0,2.47,17.51,53.07
167629,"melon, banana (navajo)",21.0,0.84,0.2,4.06
169394,"pepper, banana, raw",113.0,1.66,0.45,5.35
2709802,"peppers, banana, raw",27.0,1.66,0.45,5.35
2708004,"pie, banana cream",284.0,2.42,16.17,32.35
168849,"snacks, banana chips",2170.0,2.3,33.6,58.4
171351,"babyfood, apple-banana juice",213.0,0.2,0.1,12.3
167732,"babyfood, banana no tapioca, strained",381.0,1.0,0.2,21.3
170962,"babyfood, juice, orange and banana",50.0,0.7,0.1,11.9
454004,apple,52.0,0.0,0.65,14.3
2117388,apple,46.0,0.0,0.0,11.7
2124902,apple,54.0,0.41,0.0,14.0
2709294,"apple, candied",134.0,1.34,2.15,29.61
2709215,"apple, raw",61.0,0.17,0.15,14.8
2709196,"apple, dried",243.0,0.93,0.32,65.89
2708023,"crisp, apple",215.0,2.81,9.59,30.18
2709220,"apple, baked",113.0,0.32,3.08,22.7
2709319,apple cider,46.0,0.1,0.13,11.3
2708019,"cobbler, apple",217.0,2.05,8.66,33.56
174988,"croissants, apple",254.0,7.4,8.7,37.1
2707995,"pie, apple",296.0,2.7,15.28,37.55
2708039,"strudel, apple",281.0,1.96,14.08,37.18
175032,"strudel, apple",274.0,3.3,11.2,41.1
2709219,apple pie filling,100.0,0.1,0.1,26.1
2709320,"apple juice, 100%",48.0,0.09,0.25,11.34
2709293,apple salad with dressing,180.0,1.45,14.24,12.2
170959,"babyfood, juice, apple",47.0,0.0,0.1,11.7
2707855,"cake or cupcake, apple",376.0,2.41,17.5,52.52
168816,"fruit butters, apple",724.0,0.39,0.3,42.5
2016166,salmon,139.0,15.2,7.95,2.65
1028841,salmon,232.0,19.0,15.5,0.0
2470000,salmon,207.0,20.7,13.2,0.0
1895461,salmon,209.0,21.8,11.8,1.82
2706850,lomi salmon,60.0,7.55,1.86,3.31
2706826,salmon salad,213.0,10.82,17.36,2.73
172343,"fish oil, salmon",902.0,0.0,100.0,0.0
2706291,"fish, salmon, canned",136.0,24.62,4.21,0.0
2706289,"fish, salmon, fried",307.0,17.45,20.68,11.72
2706287,"fish, salmon, grilled",259.0,25.92,16.48,0.0
2706285,"fish, salmon, nfs",274.0,25.4,18.4,0.01
2706284,"fish, salmon, raw",188.0,20.44,11.16,0.0
2706292,"fish, salmon, smoked",117.0,18.28,4.32,0.0
2706290,"fish, salmon, steamed",237.0,25.82,14.1,0.0
